GeneID,symbol,description,baseMean,log2FoldChange,lfcSE,pvalue,padj
AT4G22780,ACR7,Member of a family of ACT domain containing proteins . ACT domains are involved in amino acid binding .,1355.2558570377146,3.1964196878100677,0.34153485559103264,5.335272938828939e-22,2.7647358406612835e-20
AT3G08760,ATSIK,Encodes an osmotic stress-inducible kinase that functions as a negative regulator of osmotic stress signaling in plants.,1368.5791831270983,2.1135460296399415,0.22442720990296872,6.177624429704283e-22,3.19347196853985e-20
AT1G19380,NA,NA,6575.172537341887,4.754801569568546,0.511789221112029,6.2581049129591725e-22,3.2272425771478083e-20
AT4G18195,ATPUP8,"Member of a family of proteins related to PUP1, a purine transporter. May be involved in the transport of purine and purine derivatives such as cytokinins, across the plasma membrane.",634.9144710163654,6.975568177208336,0.7525698690658718,6.595790801893601e-22,3.3931679347519296e-20
AT2G17120,CL-1,NA,2823.0038497610253,2.7948141713006502,0.2997374913977201,9.122425970011975e-22,4.681672971308796e-20
AT2G33580,AtLYK5,NA,1574.875838531818,4.401651646788429,0.4762845413459516,9.702551038943179e-22,4.967426250658939e-20
AT4G25030,AtNHR2B,NA,14971.2867463108,3.487715858273416,0.3747018457792925,9.887320896151956e-22,5.0498839435550205e-20
AT5G57035,NA,NA,2815.4122828923237,3.09410414236226,0.3322223928337315,1.0122729927536106e-21,5.157748851594832e-20
AT1G20310,NA,NA,128.58377465455976,6.10582084952446,0.6485744261413341,1.11304826739009e-21,5.657685441258744e-20
AT4G38550,NA,NA,49229.91029242419,3.97209094571527,0.4270294228487033,1.2046489347669943e-21,6.10871738396844e-20
AT5G42010,NA,NA,500.0133182426155,3.211841751058706,0.3469162013350754,1.4385434244533907e-21,7.277457922567297e-20
AT5G57015,ckl12,NA,1141.7472469051108,2.1134201476609027,0.22663251876740617,1.4634654240113509e-21,7.385992085448757e-20
AT5G25910,AtRLP52,putative disease resistance protein induced by chitin oligomers.,390.8788834504471,3.6818307036972127,0.39971189912329613,1.7376051711069256e-21,8.748821497455154e-20
AT3G17410,CARK1,NA,8956.548922048929,2.9374659386275717,0.31829436794405447,2.0618252780832577e-21,1.035678178599463e-19
AT1G67810,SUFE2,Encodes a protein capable of stimulating the cysteine desulfurase activity of CpNifS (AT1G08490) in vitro. SufE2:GFP localizes to the chloroplasts where it is likely to play a role in iron-sulfur cluster assembly. Transcript levels for this gene are high in the pollen relative to other organs based on RT-PCR analysis.,1735.7239176532016,4.716327109886583,0.5158688734707949,2.262298279100682e-21,1.1337042058420314e-19
AT4G13510,AMT1;1,Encodes a plasma membrane localized ammonium transporter.  Contains a cytosolic trans-activation domain essential for ammonium uptake.,10240.5064434039,2.667460366065825,0.2881444220172717,2.502886619720945e-21,1.2513258034464008e-19
AT1G22650,A/N-InvD,NA,1271.056655276214,3.1303201987821865,0.34047354456982837,2.559604293863749e-21,1.276685064419441e-19
AT3G26680,ATSNM1,involved in a SNM-dependent recombinational  repair process of oxidatively induced DNA damage.,824.7228320385054,3.1417285446962513,0.3418608996256376,2.6472948441559168e-21,1.317338448383942e-19
AT4G40080,PICALM10a,NA,912.6111436135608,3.7020234598171817,0.4047839159415962,3.181297068072141e-21,1.5793768054965145e-19
AT4G14610,NA,NA,723.4648064628527,3.854895702483794,0.4219398775887205,3.2833065199821943e-21,1.626229354943739e-19
AT2G35710,PGSIP7,NA,5974.540231432218,4.063965882480094,0.4445290456059082,3.3670139294617406e-21,1.6638204795748528e-19
AT2G39650,NA,NA,324.38693264882556,4.101449685703611,0.4492738953969623,3.428010190105212e-21,1.6900407645569628e-19
AT3G57450,NA,NA,5963.313010912181,5.517074992518784,0.6082931973915332,3.6330034186546665e-21,1.7869678247230277e-19
AT1G59910,FORMIN7,NA,7295.834753361149,3.7868817643639177,0.4141697888564969,4.7644663140478814e-21,2.338101464437599e-19
AT5G66675,NA,NA,1939.1403286815312,2.7544223489095807,0.3016065031187044,5.355151929373374e-21,2.6219316273975665e-19
AT3G46620,AtRDUF1,NA,2428.441289322537,4.318021013057324,0.47692793423465224,6.036703677557853e-21,2.9488466725831916e-19
AT3G17690,ATCNGC19,member of Cyclic nucleotide gated channel family,293.97138405959464,5.573882645717234,0.6160030490564282,6.979624271040503e-21,3.4016484605176347e-19
AT5G02970,NA,NA,2733.2952420246693,2.583581380408003,0.2834457267968777,7.624330429128872e-21,3.707374189031661e-19
AT5G52830,ATWRKY27,Encodes a WRKY transcription factor WRKY27.  Mutation in Arabidopsis WRKY27 results in delayed symptom development in response to the bacterial wilt pathogen Ralstonia solanacearum.,1339.89044791021,3.0381844588239657,0.3348064878317042,7.984158112841201e-21,3.8734988493688357e-19
AT4G30850,HHP2,heptahelical transmembrane protein homologous to human adiponectin receptors and progestin receptors,1812.7430477007244,2.741443229644937,0.3018745577258212,9.39284473277616e-21,4.546563798151516e-19
AT4G18950,BHP,NA,7367.898476723371,3.582873526483091,0.39703114827155894,1.0589659055733308e-20,5.1142530287756895e-19
AT2G41880,AGK1,Guanylate kinase. Involved in nucleotide metabolism.,1219.8362008899255,2.4400281565508855,0.26959577763798037,1.425930565346142e-20,6.870920629127178e-19
AT5G37490,NA,NA,475.1748390094444,9.91080552575548,1.037393833648701,1.4900027547152962e-20,7.163448909689928e-19
AT4G08555,NA,NA,399.4438279944834,8.698124623173925,0.9503157970414712,1.5370958481943675e-20,7.373213372712531e-19
AT2G17040,anac036,"Member of the NAC transcription factor family and more specifically, the ONAC022 subfamily. Involved in leaf and inflorescence stem morphogenesis.",363.5651273443659,5.476215311466708,0.6129415476425367,1.5866973132896116e-20,7.594040309762281e-19
