GeneID,symbol,description,baseMean,log2FoldChange,lfcSE,pvalue,padj
AT5G28630,NA,NA,3087.222476741782,5.113065371103139,0.3397435341111249,1.4110986639526963e-52,3.0666917698841356e-50
AT3G54150,EFD,NA,4790.10373895845,7.858722154990358,0.5239841645509178,1.954069126191179e-52,4.203814570668661e-50
AT1G24150,ATFH4,Encodes a group I formin. Localized to cell junctions. Polymerizes actin. Binds profilin.,3993.1886550175495,4.869760648842506,0.3258669750306442,6.734037215728877e-52,1.4342152462059365e-49
AT5G41750,NA,NA,2248.5604264777,5.932525217886136,0.3978740398045727,8.030114112952748e-52,1.6933204987887884e-49
AT1G69890,NA,NA,3791.014827677664,3.958883541264878,0.2642689186734529,8.565615913504144e-52,1.7885341933903063e-49
AT4G30210,AR2,Encodes NADPH-cytochrome P450 reductase that catalyzes the first oxidative step of the phenylpropanoid general pathway.,52460.08077610444,4.499065978819478,0.3014487030127167,9.706257602763888e-52,2.0070279070258767e-49
AT5G25930,NA,NA,3152.4469222292746,5.346347091849529,0.3593104976964146,1.668406260130791e-51,3.41670351233323e-49
AT5G39020,MDS3,NA,981.7919944027176,4.457729387810348,0.29973554815596626,2.3998432126321265e-51,4.867796261203717e-49
AT5G54860,NA,NA,1549.4352990596751,4.827609656964111,0.32577835573826325,4.657557727515099e-51,9.358175894397789e-49
AT3G52400,ATSYP122,"syntaxin protein, involved in the negative regulation of defense pathways such as programmed cell death, salicylic acid signalling pathway, jasmonic acid signalling pathway",14132.752081338149,5.120555560635192,0.3508242118577081,8.644580863077049e-50,1.7206755441291124e-47
AT4G36500,NA,NA,13182.456977836937,5.665997066824667,0.3887261778336347,1.2502928616332829e-49,2.4656238302838574e-47
AT5G39670,CML46,NA,548.7364117816916,4.830848252910763,0.3318278965034796,3.005701460077872e-49,5.872975201535642e-47
AT3G21520,AtDMP1,NA,745.5004100824013,5.902722197239391,0.4074127881183944,5.556490801537497e-49,1.075837646283142e-46
AT1G21110,IGMT3,NA,16999.694617119476,7.511614917678893,0.5210661497074955,1.1040874008966239e-48,2.1184552670537205e-46
AT3G08720,ATPK19,"Encodes a ribosomal-protein S6 kinase. Gene expression is induced by cold and salt (NaCl).  Activation of AtS6k is regulated by 1-naphthylacetic acid and kinetin, at least in part, via a lipid kinase-dependent pathway. Phosphorylates specifically mammalian and plant S6 at 25 degrees C but not at 37 degrees C. Involved in translational up-regulation of ribosomal proteins.",4367.582609586661,4.256643398216938,0.2945793583878488,1.2636433058372376e-48,2.402953136403704e-46
AT5G54710,NA,NA,11511.41139577372,4.817320099783479,0.33482171107460723,2.3353810263921086e-48,4.4016765575308965e-46
AT3G46110,AuxRP3,NA,878.4056451960324,5.347777191160823,0.3718544430153489,2.7533659109346515e-48,5.1439637869373884e-46
AT5G48530,NA,NA,951.4468587769686,3.785468665432536,0.26400237566559787,7.160748038141714e-48,1.3261705366638457e-45
AT1G16130,WAKL2,wall-associated kinase like,3249.027004047098,3.686568587382689,0.2575862547639606,8.23990244929653e-48,1.5128745031475652e-45
AT1G01560,ATMPK11,member of MAP Kinase,1467.270828451278,9.070694124104593,0.6316138050904735,1.418133443803709e-47,2.5814876996693497e-45
AT1G28380,NSL1,"This gene is predicted to encode a protein involved in negatively regulating salicylic acid-related defense responses and cell death programs. nsl1 mutants develop necrotic lesions spontaneously and show other features of a defense response, such as higher levels of SA and disease resistance-related transcripts, in the absence of a biotic stimulus. The NSL1 protein is predicted to have a MACPF domain, found in proteins that form a transmembrane pore in mammalian immune responses. NSL1 transcript levels do not appear to change in response to biotic stresses, but are elevated by cycloheximide in seedlings, and by sodium chloride in roots.",9620.373236154304,3.9593505483943225,0.27661125129732994,2.484174448183365e-47,4.4599776993336634e-45
AT5G52760,NA,NA,684.1171439450894,7.8565278734531825,0.5488167916820033,2.491958616868747e-47,4.4599776993336634e-45
AT1G69900,NA,NA,5254.798995814444,4.808795163438161,0.3389409900520441,4.355152313826218e-47,7.729669498322567e-45
AT1G59590,ZCF37,"ZCF37 mRNA, complete cds",1538.5313958880802,3.1991199931116414,0.22536699262639323,6.788812444664567e-47,1.194943202036909e-44
AT3G01830,NA,NA,1687.3346346656856,9.720471597814996,0.6847845611477438,3.384995202536167e-46,5.90931375603404e-44
AT4G23270,CRK19,Encodes a cysteine-rich receptor-like protein kinase.,6407.90614826385,3.50420840535089,0.2492058185914137,4.638613700010468e-46,8.031967039253897e-44
AT2G20960,pEARLI4,NA,25336.87838362864,4.25374213725473,0.30365257823972097,4.983641724034994e-46,8.559806567620749e-44
AT2G38470,ATWRKY33,Member of the plant WRKY transcription factor family.  Regulates the antagonistic relationship between defense pathways mediating responses to P. syringae and necrotrophic fungal pathogens.  Located in nucleus. Involved in response to various abiotic stresses - especially salt stress.,23825.251352797008,5.451706410287802,0.3877873307119209,5.293144798445171e-46,9.01867183338282e-44
AT5G01550,LecRK-VI.3,"Encodes LecRKA4.2, a member of the lectin receptor kinase subfamily A4 (LecRKA4.1 At5g01540; LecRKA4.2 At5g01550; LecRKA4.3 At5g01560).  Together with other members of the subfamily, functions redundantly in the negative regulation of ABA response in seed germination.",1209.275019926625,6.365642201515054,0.45704158387797345,1.2614327250550585e-45,2.132221760176399e-43
AT2G31880,EVR,Encodes a putative leucine rich repeat transmembrane protein that is expressed in response to Pseudomonas syringae. Expression of SRRLK may be required for silencing via lsiRNAs.  Regulates cell death and innate immunity.,11546.88818202044,3.893545156140344,0.2791051793890385,1.6339158340801026e-45,2.740089719231341e-43
AT5G48380,BIR1,"Encodes a BAK1-interacting receptor-like kinase named BIR1.  Negatively regulates multiple plant resistance signaling pathways, one of which is the SOBIR1(AT2G31880)-dependent pathway.",9337.593410910613,4.160428808370666,0.2984897211173938,1.8476154208285298e-45,3.074258846312971e-43
AT4G11470,CRK31,Encodes a cysteine-rich receptor-like protein kinase.,712.98489698146,8.150072260143284,0.5810572725412109,2.3302693811212378e-45,3.847292812334893e-43
AT2G35930,AtPUB23,Encodes a cytoplasmically localized U-box domain containing E3 ubiquitin ligase that is involved in the response to water stress and acts as a negative regulator of PAMP-triggered immunity.,24620.93768922872,5.588637113095315,0.4014041937222038,3.0215995344625353e-45,4.9503097603833125e-43
AT1G51820,SIF4,NA,5172.0993767863765,5.027354288731831,0.36326537950292,5.5219346027631216e-45,8.977569707606789e-43
AT4G26200,ACCS7,"Member of a family of proteins in Arabidopsis that encode 1-Amino-cyclopropane-1-carboxylate synthase, an enzyme involved in ethylene biosynthesis. Not expressed in response to IAA.",3113.5482225071537,4.252260259453852,0.3069741850873549,5.779948992093014e-45,9.325860123757347e-43
