gene,symbol,description,baseMean,log2FoldChange,lfcSE,pvalue,padj
AT1G16510,SAUR41,NA,42.50329721348029,0.21346511267154644,0.4016053710077203,0.20043945095530055,0.821868091629466
AT1G24440,NA,NA,330.93606028617785,-0.19789231590820697,0.4005995669648083,0.20104914168722393,0.821868091629466
AT1G26945,KDR,Encodes a basic helix-loop-helix (bHLH) protein involved in blue/far-red light signaling. Physically interacts with HFR1 and negatively regulates its activity.,135.29932951871453,0.15114300424974728,0.3953486708357932,0.20066765689495017,0.821868091629466
AT1G51270,NA,NA,78.95687307841747,-0.19217182846015415,0.4006244325042686,0.20086784864892615,0.821868091629466
AT1G69760,NA,NA,360.95003995149415,-0.2527591092032248,0.37561777750569697,0.20054545410411095,0.821868091629466
AT2G02040,AtNPF8.3,Encodes a di- and tri-peptide transporter that recognizes a variety of different amino acid combinations. Expression of the transcripts for this gene can be detected in the embryo through in situ hybridization. This protein does not have nitrate transporter activity based on oocyte transport assays.,600.2682559397531,-0.2273930962984515,0.39495656351436503,0.200512150132098,0.821868091629466
AT2G22140,ATEME1B,Forms a complex with MUS81 that functions as endonuclease in DNA recombination and repair processes.,13.963512712741526,0.1519570836697723,0.39503775664846136,0.20020514293837385,0.821868091629466
AT2G25270,NA,NA,90.89230263999274,0.2090334776693978,0.40203752645471663,0.20070489813677428,0.821868091629466
AT2G25510,NA,NA,5859.379919515657,0.1822214707445687,0.4014038915935656,0.2010172013318524,0.821868091629466
AT2G43410,FPA,FPA  is a gene that regulates flowering time in Arabidopsis via a pathway that is independent of daylength (the autonomous  pathway). Mutations in  FPA  result in extremely delayed flowering. Double mutants with FCA have reduced fertility and single/double mutants have defects in siRNA mediated chromatin silencing.,545.5284648955874,0.22389742320979827,0.40068171780513007,0.2004969202843403,0.821868091629466
AT3G57530,ATCPK32,Calcium-dependent Protein Kinase. ABA signaling component that regulates the ABA-responsive gene expression via ABF4. AtCPK32 has autophosphorylation activity and can phosphorylate ABF4 in vitro,950.3376609657472,0.21518194551990188,0.4015754117295702,0.20085601113851412,0.821868091629466
AT3G62990,NA,NA,52.51949836681315,-0.11559562965376843,0.3868268314765514,0.200940834728799,0.821868091629466
AT4G20940,GHR1,NA,70.43884515907861,0.16382840354713923,0.3978117553211361,0.2004286678619663,0.821868091629466
AT4G28840,TIE1,NA,19.2018264862724,-0.14762452334358486,0.3938998602321972,0.2008574004344865,0.821868091629466
AT4G30450,NA,NA,133.3346501169617,-0.23267534577865015,0.3943158654506688,0.2007762760420352,0.821868091629466
AT4G36160,ANAC076,Encodes a NAC-domain transcription factor. Expressed in the vascular tissue.,14.990303954601853,0.15706773882826067,0.3960579686475766,0.20078958710022035,0.821868091629466
AT4G39235,NA,NA,98.03133291949317,0.23134404942510176,0.3970392269266151,0.20093468094332068,0.821868091629466
AT5G09630,NA,NA,35.01154924958381,-0.18547821069034,0.3999812014230776,0.2002943694347652,0.821868091629466
AT5G14410,NA,NA,130.7333818020279,-0.23902555889531665,0.39038168557784136,0.2008979434931688,0.821868091629466
AT5G56730,NA,NA,93.79549513418408,0.239210947368158,0.3934505095516564,0.20050305569016175,0.821868091629466
AT1G70505,NA,NA,36.51943637093304,0.19937703210489743,0.4017402740440264,0.2011442113989146,0.8219245689378795
AT2G38210,PDX1L4,NA,124.73284825101952,0.17621618092077038,0.39997175211038,0.20114312154236505,0.8219245689378795
AT1G30230,eEF-1Bb1,NA,3057.1448065800896,-0.25604915064132644,0.3913746053483195,0.20121906199733905,0.8220643867665924
AT3G08920,NA,NA,373.598532840303,0.231867307529753,0.3989176731634902,0.2013367591944684,0.822106193382429
AT3G48570,NA,NA,130.67832309767172,-0.23495233180958153,0.39334544454374826,0.20128270216217187,0.822106193382429
AT4G32890,GATA9,Encodes a member of the GATA factor family of zinc finger transcription factors.,74.81119334492553,-0.18040078354508543,0.39960505434716886,0.20135120301566584,0.822106193382429
AT2G29940,ABCG31,NA,65.00517246951281,0.188278520846396,0.4011112441935773,0.201546981722954,0.8227395050922282
AT1G10720,NA,NA,211.21945115080652,-0.2434134498708918,0.38635739265739727,0.2015961792745824,0.8227743197304976
AT3G08940,LHCB4.2,"Lhcb4.2 protein (Lhcb4.2, protein involved in the light harvesting complex of photosystem II",24043.795001037237,0.2633752659440321,0.38643970789100635,0.20168743597442512,0.822867312617036
AT4G39580,NA,NA,22.639170787287497,-0.16225140615071076,0.39637451892858067,0.2017003115648204,0.822867312617036
AT1G56280,ATDI19,Encodes a gene whose transcript level in root and leaves increases to progressive drought stress. The increase in transcript level is independent from abscisic acid level. Sequence is not similar to any protein of known function. It appears to be a member of plant-specific gene family. It's phosphorylated by AtCPK11 in a Ca(2+)-dependent manner at Thr105 and Ser107 within the AtDi19 bipartite nuclear localization signal,4365.146324260466,-0.25328655608570605,0.37364512188622406,0.20179974803424647,0.8229504879916958
