p_val,avg_log2FC,pct.1,pct.2,p_val_adj
0,9.709991453634007,0.959,0.015,0
0,9.637800653623293,0.829,0.004,0
0,5.319828611052264,0.827,0.045,0
0,6.923077713004091,0.587,0.009,0
