"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MAN1A2",0.0213818900567969,-1.25836518798558,0.018,0.039,1
"ST3GAL5",0.0214432030277841,1.29368850208076,0.044,0.022,1
"BATF3",0.0215320958197392,1.42631495332161,0.03,0.012,1
"APLP2",0.0215327083436603,-0.606333367299789,0.051,0.082,1
"RRS1",0.0216045195267754,-0.551675234245025,0.056,0.089,1
"HVCN1",0.0216486618497692,-0.298547762592948,0.197,0.257,1
"DMTF1",0.0216957476658047,1.74040422212296,0.027,0.01,1
"FOS",0.0217185230549508,-1.27809189766432,0.018,0.039,1
"NOL12",0.0218024066497887,-0.695762780948899,0.043,0.072,1
"ZNF107",0.0218494663917343,1.92224219560314,0.025,0.008,1
"DHRS7B",0.0218885626578598,-1.10806337252003,0.018,0.039,1
"IZUMO4",0.0219169046310608,-1.01110756629083,0.017,0.037,1
"ITM2A",0.0219425706470681,-0.965995648392845,0.02,0.04,1
"RP11-420G6.4",0.0220026732772932,0.997024502483434,0.035,0.015,1
"RSAD1",0.0220078393240759,-1.50023622414146,0.01,0.027,1
"IL4I1",0.022043713541635,1.92545992281562,0.027,0.01,1
"FAM63B",0.0220962550688705,1.54426271239122,0.025,0.008,1
"SH3BP1",0.0220962550688705,1.82755797199254,0.025,0.008,1
"BCL2L1",0.0221014576966473,1.31760943885203,0.033,0.013,1
"TNFRSF4",0.0222561821806907,-1.79263340358051,0.01,0.027,1
"PPAN",0.0223482413015444,-0.541305423209486,0.095,0.136,1
"ZNF830",0.0223761139786521,-0.419775641849566,0.068,0.104,1
"LYRM5",0.0224419716570185,0.676543531237559,0.047,0.023,1
"EFTUD2",0.0224660098145962,-0.58389638195242,0.034,0.06,1
"TINF2",0.0225331336002045,0.673624563805627,0.158,0.119,1
"INO80",0.0226430529615817,1.30920532768606,0.03,0.012,1
"ZNF397",0.0227965640303327,-1.17027085043896,0.01,0.027,1
"MAP2K2",0.0228147682922204,-1.49156399921702,0.01,0.027,1
"SLC18B1",0.0228711293918958,1.20063424347108,0.03,0.012,1
"FMNL1",0.0229645413589858,-0.738038777574551,0.074,0.109,1
"KCNN4",0.0231205693446518,-1.99949796748101,0.012,0.029,1
"SLC35A1",0.0234143063741446,-1.10907667989106,0.02,0.04,1
"CCNDBP1",0.0234189928971145,-0.294339571689353,0.178,0.227,1
"AKT2",0.0234898354020939,0.986604252220091,0.054,0.029,1
"JOSD1",0.0235598102079381,-1.25747830179187,0.026,0.049,1
"APEH",0.0235963595158633,-1.33859441097122,0.025,0.047,1
"FCER2",0.0235994030061374,-1.04868095733391,0.022,0.044,1
"ARAP2",0.0236757057856944,1.26743236983279,0.042,0.02,1
"CHAMP1",0.0236848907418262,-1.02911123866057,0.01,0.027,1
"GPI",0.0237395394945404,-0.920449941213127,0.02,0.04,1
"NPM3",0.0238071028660354,-0.482863118661669,0.104,0.144,1
"SIRT2",0.023959459486684,-1.06595190539264,0.021,0.042,1
"PPP1R7",0.023975211988613,-0.66507541332762,0.11,0.149,1
"FAIM3",0.02398961810576,-0.290725283868123,0.09,0.129,1
"SLC2A3",0.0241236916088216,-0.585780945359645,0.048,0.079,1
"DENND2D",0.0241853142040801,1.07949061717553,0.061,0.035,1
"PHF14",0.0241863075953867,-0.706651264671165,0.057,0.089,1
"ZMYND8",0.0242305212850374,-2.01285244257163,0.007,0.02,1
"OSBPL8",0.0243642969424844,-0.65996776068033,0.095,0.134,1
"SAC3D1",0.0243673131266707,-2.08437969210564,0.007,0.02,1
"SEPHS1",0.0243722004783615,1.50421694816319,0.039,0.018,1
"TAF1D",0.0244885136468564,-0.335380567528674,0.11,0.151,1
"C11orf30",0.0245507430576102,-1.75599654427166,0.007,0.02,1
"TCEAL8",0.0245685360021597,-1.09111638890746,0.029,0.052,1
"PPP1R3D",0.0245967870463536,-1.78949747555462,0.007,0.02,1
"SPATC1L",0.0245967870463536,-1.87075611394626,0.007,0.02,1
"GPATCH2L",0.0246772603576001,-0.868794809011204,0.02,0.04,1
"IRF2BP2",0.0246832041874372,-0.688643267749301,0.06,0.092,1
"RP4-575N6.4",0.0247491646977505,-3.14517627368729,0.001,0.01,1
"RGS14",0.0247491646977505,-4.46842843909166,0.001,0.01,1
"MAP3K4",0.0247491646977505,-3.79594708911116,0.001,0.01,1
"MRPS6",0.024804527976411,-0.457609626325162,0.136,0.185,1
"ALG2",0.0248188551497568,-0.53106717689259,0.059,0.091,1
"ESR2",0.0248211878358037,-2.95319136623825,0.001,0.01,1
"TM6SF1",0.0248211878358037,-3.18205834912544,0.001,0.01,1
"BECN1",0.0248848438484164,-0.656658475469647,0.05,0.079,1
"RBAK",0.024893392431845,-2.88111766034892,0.001,0.01,1
"ZNF382",0.024893392431845,-3.23883490447104,0.001,0.01,1
"ERCC2",0.024893392431845,-2.92884812092886,0.001,0.01,1
"AF165138.7",0.024893392431845,-2.85857720558881,0.001,0.01,1
"TMC8",0.0249521496260053,-1.25575286970403,0.012,0.029,1
"FAM229B",0.0249657788520432,-2.85249741501303,0.001,0.01,1
"VAV2",0.0249657788520432,-2.88051468458806,0.001,0.01,1
"PDK2",0.0249657788520432,-3.11469656549694,0.001,0.01,1
"REPS1",0.0250145605146388,-1.82440289675116,0.007,0.02,1
"CEP70",0.0250383474630315,-2.52045273128198,0.001,0.01,1
"MIR24-2",0.0250383474630315,-2.45687498060255,0.001,0.01,1
"GIPC1",0.0250383474630315,-2.98165835584151,0.001,0.01,1
"OSM",0.0250383474630315,-2.48848572411062,0.001,0.01,1
