"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ISG15",7.75722133371878e-225,5.18979849660468,0.999,0.221,1.07887434309361e-220
"ISG20",6.48442818391748e-211,3.22083157627744,1,0.607,9.01854271819243e-207
"IFIT3",6.45262272749235e-210,6.55386360820914,0.936,0.034,8.97430768939636e-206
"IFI6",6.12210297413086e-203,5.69765171682789,0.93,0.057,8.5146208164212e-199
"IFIT1",2.52333531332308e-174,6.56448300189689,0.832,0.018,3.50945475376974e-170
"MX1",9.41716253486507e-170,4.31248793064362,0.875,0.092,1.30973896534903e-165
"LY6E",4.62210581473863e-157,3.88180187496225,0.859,0.141,6.42842476713849e-153
"PLSCR1",3.98918975951019e-138,3.97863465985515,0.789,0.097,5.54816511752677e-134
"TNFSF10",1.66435294953672e-135,6.72102486584704,0.702,0.017,2.31478208221566e-131
"IRF7",1.23733283957124e-133,3.43940944463402,0.821,0.161,1.72088251327568e-129
"IFIT2",2.6299185264492e-132,6.05235538033864,0.702,0.027,3.65769068658554e-128
"CXCL10",1.96544728285415e-123,8.69481497355839,0.649,0.007,2.73354408099355e-119
"B2M",3.355544482926e-119,0.621320088483587,1,1,4.66689126685349e-115
"UBE2L6",1.06666336280461e-113,2.54124473940385,0.838,0.277,1.48351540498865e-109
"EPSTI1",4.37443788345433e-111,3.65047403498579,0.704,0.087,6.08396820830829e-107
"IFI44L",1.19626684116177e-104,4.19706553933292,0.64,0.05,1.66376792268778e-100
"GBP1",9.38852588916072e-101,3.90103747104656,0.648,0.072,1.30575618066447e-96
"HERC5",2.8410641248082e-96,5.24610364803015,0.564,0.022,3.95135198478325e-92
"PSMB9",3.87370931931981e-96,1.8207023451119,0.907,0.535,5.38755492131e-92
"OAS1",1.79725838823582e-93,4.34903172212694,0.59,0.052,2.49962696635839e-89
"IFI35",9.80911928300853e-89,3.69846088778008,0.597,0.064,1.36425230988083e-84
"IFITM2",6.30680347141044e-81,2.81186268535146,0.672,0.198,8.77150226803764e-77
"SAMD9L",1.04695120532553e-80,3.75816549675606,0.548,0.055,1.45609973636675e-76
"BST2",1.48133152022817e-79,2.25902686207844,0.751,0.282,2.06023587833335e-75
"NT5C3A",6.65074232283124e-77,4.15612253012528,0.514,0.045,9.24985242259369e-73
"MX2",1.13922026779338e-73,4.39499844487559,0.484,0.032,1.58442754844703e-69
"DYNLT1",3.93391053288624e-72,3.06914969641626,0.57,0.109,5.47128276913818e-68
"RSAD2",5.54259477286859e-69,8.23641661471199,0.411,0.002,7.70864081010564e-65
"EIF2AK2",4.281018670628e-63,3.11701119225881,0.518,0.091,5.95404076710942e-59
"SAT1",1.59496420025953e-62,1.9615598821534,0.795,0.431,2.21827620972096e-58
"OASL",5.57906983750604e-61,4.78456353662769,0.39,0.01,7.7593703300034e-57
"IFITM3",3.61674517022016e-59,6.00339143293011,0.38,0.012,5.0301691827422e-55
"GBP4",6.68073301294563e-59,2.23612629303638,0.589,0.168,9.29156347440479e-55
"CMPK2",3.95556792340322e-55,6.25032300810448,0.349,0.005,5.5014038678692e-51
"IFI16",5.24100176561715e-55,2.11939436408573,0.611,0.21,7.28918525562033e-51
"TMSB10",3.00789326504263e-54,1.21904703841225,0.885,0.659,4.18337795302128e-50
"LAP3",8.1884530711098e-54,2.9098688051114,0.49,0.116,1.13885005312995e-49
"MYL12A",3.88521046811432e-52,1.30832632322668,0.839,0.612,5.40355071905339e-48
"SP110",2.40847965977508e-50,2.52972050562134,0.483,0.107,3.34971351081519e-46
"XAF1",3.36796747870869e-50,3.20041208253836,0.381,0.035,4.68416916938804e-46
"PPM1K",9.85508245993317e-48,2.44311814593377,0.479,0.117,1.3706448685275e-43
"SAMD9",1.13583794199897e-47,2.76272950003398,0.433,0.081,1.57972340973216e-43
"DDX58",1.291009606998e-46,3.94049965057153,0.351,0.032,1.79553616141282e-42
"SOCS1",1.89462748739993e-45,2.23067159809429,0.538,0.185,2.63504790947582e-41
"PSME2",3.54529342407522e-43,1.09320746468674,0.86,0.614,4.93079409420382e-39
"COX5A",1.42987072656699e-42,1.86501878185584,0.617,0.312,1.98866420650936e-38
"TRIM22",1.32617982647782e-41,2.84554354701617,0.383,0.065,1.84445090266535e-37
"PSMA2.1",1.56810007608022e-41,1.30489550599074,0.739,0.438,2.18091358581237e-37
"RBCK1",1.84867372927445e-41,2.58016391490552,0.413,0.091,2.5711354226749e-37
"TAP1",1.08025629022261e-40,1.7988455190427,0.551,0.203,1.50242044844161e-36
"EEF1A1",1.53037871560249e-40,-0.844007959688817,0.774,0.923,2.12845071765995e-36
"PARP14",2.12621241992022e-40,2.28131848949411,0.449,0.121,2.95713623362504e-36
"NMI",7.52060689110829e-40,2.17047277212618,0.492,0.171,1.04596600641534e-35
"FBXO6",7.43862387691913e-39,3.90412764470533,0.298,0.025,1.03456380880191e-34
"XRN1",3.64287473683119e-38,3.13715150814241,0.339,0.054,5.06651018398482e-34
"RPL7",4.1936503393875e-38,-0.489103068002152,0.987,0.993,5.83252889202014e-34
"RPL10",1.33510412773811e-37,-0.474834963642,0.999,1,1.85686282085817e-33
"CHST12",5.89169070754023e-37,3.31330468217999,0.326,0.05,8.19416343604695e-33
"GBP2",7.79889944082234e-37,1.52881696648674,0.611,0.299,1.08467093422957e-32
"DRAP1",8.00296132773214e-37,1.55650033449631,0.606,0.295,1.11305186146099e-32
"SUB1",3.25775714303862e-36,1.55181698648041,0.61,0.322,4.53088863453811e-32
"IFI44",3.52761184043509e-36,3.8362014256438,0.283,0.025,4.90620254767712e-32
"WARS",7.8538477052154e-36,2.95095205349463,0.349,0.07,1.09231313884136e-31
"PLAC8",1.07747444477591e-35,3.13263033705867,0.334,0.06,1.49855145779434e-31
"HLA-E",3.34977158055113e-35,0.870630994399736,0.928,0.767,4.65886231423051e-31
"NEXN",1.54791545931757e-34,5.61503816855863,0.239,0.008,2.15284082081888e-30
"OAS2",8.62645179827345e-34,4.46359775754838,0.24,0.01,1.19976691610387e-29
"STAT1",1.18471725574429e-33,2.69892538615044,0.334,0.065,1.64770475928916e-29
"RNF213",3.636957501158e-33,3.1092287487817,0.302,0.047,5.05828049261055e-29
"IFIH1",2.46722344854098e-32,2.60601423443203,0.32,0.057,3.4314143722308e-28
"GBP5",4.73179678232313e-32,4.10268537629709,0.24,0.015,6.58098296485501e-28
"TYMP",5.99873091649445e-32,1.46770722094368,0.591,0.304,8.34303495866049e-28
"GSTP1",2.37504382870158e-31,-1.41673627744232,0.359,0.648,3.30321095695815e-27
"IRF8",7.43858543320635e-31,1.58317119522673,0.584,0.295,1.03455846205034e-26
"MNDA",8.40169316951234e-31,4.17324386183504,0.239,0.018,1.16850748601578e-26
"PSMB8",1.04474402426959e-30,1.21990302469437,0.671,0.403,1.45302998895414e-26
"RPL3",1.04760805495344e-30,-0.440962462761035,0.993,0.997,1.45701328282924e-26
"SELL",2.52580341410907e-30,1.89801475587567,0.419,0.139,3.51288738834289e-26
"RPL6",3.60803951545227e-30,-0.561295021725856,0.924,0.97,5.01806135809102e-26
"TNFSF13B",6.03070093181136e-30,5.19503479625111,0.213,0.008,8.38749885596324e-26
"PSMA4",1.25453058615609e-29,1.17606240160815,0.627,0.366,1.7448011392259e-25
"RPS2",1.81005570510209e-29,-0.379403123936756,1,1,2.51742547465599e-25
"DDX60L",1.04106808777732e-28,3.44450862836036,0.24,0.025,1.4479174964807e-24
"NPC2",1.33047069932685e-28,1.65307388921869,0.497,0.223,1.85041864862378e-24
"CLEC2D",3.12743010755582e-28,1.50854917360041,0.537,0.265,4.34962979358864e-24
"HAPLN3",3.14690011453695e-28,4.32138576824482,0.21,0.012,4.37670867929799e-24
"MT2A",5.86481548954778e-28,2.92733104605631,0.273,0.049,8.15678538286305e-24
"IFITM1",8.97560857610163e-28,4.172641591207,0.21,0.013,1.24832764076421e-23
"OAS3",6.32376448621039e-27,4.85356549705383,0.197,0.01,8.79509164742141e-23
"CXCL11",4.9266175573197e-26,11.166554019945,0.17,0,6.85193969872023e-22
"ID3",1.0223027667342e-25,-1.00806797039129,0.343,0.606,1.42181868797393e-21
"CARD16",1.07489160625676e-25,2.25198466240078,0.315,0.082,1.4949592459819e-21
"RTCB",1.51342818261769e-25,1.79438483792967,0.411,0.164,2.10487591638469e-21
"RPS6",8.04198859459221e-25,-0.309113271164039,0.999,1,1.11847977373588e-20
"HLA-B",1.04669053653374e-24,0.432346967255904,1,1,1.45573719821112e-20
"IFIT5",1.05692644999478e-24,2.93293494953765,0.235,0.037,1.46997330665273e-20
"RPS3A",1.38106144503053e-24,-0.351228149571043,0.991,0.997,1.92078025774847e-20
"NUB1",2.18014201989379e-24,2.22724738298918,0.3,0.079,3.03214152126829e-20
"FTH1",1.06113643486461e-23,-0.865673400998086,0.993,0.995,1.47582855360971e-19
"DNAJA1",1.16317968958386e-23,0.87765098940234,0.706,0.48,1.61775031227323e-19
"RPSA",1.28536071293148e-23,-0.585881602214951,0.859,0.926,1.7876796795451e-19
"PKM",1.29379801791941e-23,-1.16647282396154,0.349,0.592,1.79941428332232e-19
"KIAA0040",2.47283354225106e-23,3.60749951964499,0.198,0.022,3.43921689056278e-19
"FTL",7.72707576177845e-23,-0.544283834499812,0.937,0.982,1.07468169694815e-18
"RPS3",1.06137824511595e-22,-0.359255682918906,0.993,0.998,1.47616486330727e-18
"PARP9",1.08586950671691e-22,2.91143382614757,0.217,0.034,1.51022730994188e-18
"CLIC1",1.42798337044704e-22,0.819191944641151,0.792,0.633,1.98603927161774e-18
"LGALS9",4.09997592662137e-22,3.14969219080732,0.209,0.032,5.702246518745e-18
"C19orf66",7.81150061866014e-22,2.58220170874992,0.239,0.05,1.08642350604325e-17
"HLA-C",1.01585146706945e-21,0.471316167616293,0.983,0.955,1.41284622040019e-17
"PMAIP1",2.75672213378419e-21,1.23890410535093,0.51,0.287,3.83404914366705e-17
"GNG5",4.19338293373565e-21,1.11849648088062,0.54,0.305,5.83215698423955e-17
"PHF11",4.85333345986971e-21,1.81300883280471,0.292,0.086,6.7500161759868e-17
"HNRNPA1",7.22635738166545e-21,-0.816784691044233,0.572,0.767,1.00504178464203e-16
"RABGAP1L",1.28998093484923e-20,2.39293508338696,0.243,0.057,1.79410548418831e-16
"CD38",1.62339575951893e-20,3.74761811913599,0.162,0.012,2.25781882233893e-16
"RPL10A",1.80073345536756e-20,-0.460654889278554,0.926,0.966,2.50446008972521e-16
"ARHGDIB",2.28003764401621e-20,-1.03058241629414,0.379,0.614,3.17107635529774e-16
"SMCHD1",5.62599805362245e-20,1.55790476804064,0.381,0.163,7.8246380929781e-16
"HERC6",9.18080656067898e-20,4.33665033434418,0.149,0.008,1.27686657645923e-15
"PFN1",9.63150019624296e-20,-0.541726733831077,0.802,0.906,1.33954904729347e-15
"H3F3B",6.78084364857699e-19,0.464279021929858,0.979,0.938,9.43079734644088e-15
"EAF2",1.12153945038925e-18,3.19227049356686,0.178,0.027,1.55983706760136e-14
"GAPDH",1.52709539116824e-18,-0.947482338244457,0.437,0.639,2.12388427003679e-14
"CCL8",1.52854496894705e-18,6.01863270714901,0.125,0.002,2.12590034281156e-14
"RPS7",2.0359403074572e-18,-0.422470139262173,0.944,0.973,2.83158577961147e-14
"CD164",2.20087551418891e-18,1.21856778191573,0.484,0.268,3.06097766513394e-14
"RPL15",2.38770409214146e-18,-0.300690223009477,0.997,1,3.32081885135035e-14
"NAPA",2.42886415552571e-18,2.07304915760515,0.257,0.079,3.37806426750515e-14
"RPL7A",2.67609876976446e-18,-0.495856993716382,0.877,0.916,3.72191816898842e-14
"RPS4X",9.3537978051554e-18,-0.378555919788382,0.979,0.993,1.30092619874101e-13
"GPX4",1.08017082151824e-17,-1.09728752295373,0.235,0.446,1.50230157856757e-13
"SP100",1.26341262522421e-17,1.1962597758811,0.47,0.257,1.75715427916183e-13
"C5orf56",1.32443081736396e-17,2.33374201161449,0.225,0.06,1.84201838078979e-13
"USP30-AS1",1.68547265649462e-17,3.09961281740948,0.161,0.022,2.34415537065271e-13
"CD79B",3.04569750926684e-17,-1.59624988329187,0.119,0.297,4.23595609588832e-13
"HLA-DQB1",3.19292175750509e-17,-0.871972368288535,0.499,0.685,4.44071558033808e-13
"CD48",3.78424153892891e-17,0.918979871227447,0.514,0.302,5.26312313234233e-13
"IRF1",4.35543680873172e-17,1.22402706764488,0.42,0.208,6.05754151358407e-13
"PABPC1",4.40095079023007e-17,-0.523947137945283,0.83,0.904,6.12084235905198e-13
"INPP1",6.38523924184062e-17,3.78004093261209,0.14,0.013,8.88059073755193e-13
"TMEM123",7.86749512782112e-17,1.04858673748391,0.557,0.332,1.09421122237736e-12
"ADAR",1.95928258943493e-16,1.84233758438488,0.245,0.077,2.7249702253861e-12
"ACTB",2.77714130766644e-16,-0.487305658428367,0.886,0.958,3.86244813070249e-12
"RPL5",2.81351010222647e-16,-0.44251783320389,0.825,0.93,3.91302985017657e-12
"CREM",3.08915041602601e-16,0.796708450078541,0.692,0.51,4.29639039860897e-12
"RTP4",3.34737609449197e-16,3.93088751928251,0.125,0.008,4.65553067221944e-12
"DHX58",4.08457920725198e-16,4.70135042921359,0.114,0.003,5.68083276144605e-12
"IGFBP4",4.298649161795e-16,3.19132637354951,0.157,0.025,5.97856125422449e-12
"RPL13A",4.32942084528629e-16,-0.254336624640464,0.999,1,6.02135851162417e-12
"TREX1",5.249955610294e-16,2.55697873858353,0.183,0.04,7.30163826279689e-12
"DCK",6.33713870055426e-16,1.32266704882742,0.325,0.141,8.81369250473086e-12
"OAZ1",7.68910748509364e-16,-0.441909602408393,0.843,0.943,1.06940106902682e-11
"ALOX5AP",7.77758628957413e-16,-1.43708650247338,0.124,0.299,1.08170670115397e-11
"LACTB",7.7914640539468e-16,1.34474108260427,0.3,0.122,1.08363682062292e-11
"SH3BGRL3",8.52116635549397e-16,-0.886107394911408,0.416,0.617,1.1851238167221e-11
"CCL2",9.03182152677738e-16,3.29778417121003,0.149,0.022,1.2561457379442e-11
"CD44",9.82280574358666e-16,-0.931776179801074,0.214,0.416,1.36615582281803e-11
"DEK",1.29451674222364e-15,1.31281305518462,0.371,0.193,1.80041388508463e-11
"CCR7",1.3252810021627e-15,0.688157042870842,0.859,0.782,1.84320081780789e-11
"ZFP36L1",1.34510301346022e-15,-0.965134152544494,0.265,0.471,1.87076927112047e-11
"LINC00926",1.57899709177005e-15,-2.69791499776402,0.022,0.134,2.19606915523379e-11
"LAMP3",1.70414327470834e-15,8.99199563345443,0.101,0,2.37012246646435e-11
"SPI1",1.87067740244795e-15,-2.14991659665399,0.044,0.174,2.60173813132461e-11
"DDX60",2.467566411835e-15,3.42783518370969,0.124,0.01,3.43189136558012e-11
"EEF2",2.92800641062851e-15,-0.618212338060678,0.594,0.763,4.07227131590213e-11
"GLIPR1",3.14826639928836e-15,-1.71622739468037,0.074,0.223,4.37860890813025e-11
"HERPUD1",3.25966475257142e-15,-0.706473363427969,0.649,0.805,4.53354173787633e-11
"SLFN5",3.69793859446753e-15,3.99185721044572,0.121,0.01,5.14309299718544e-11
"HSH2D",3.85092058763017e-15,1.88623878308435,0.192,0.047,5.35586035327604e-11
"GMPR",3.93141472463751e-15,4.45255992481394,0.114,0.007,5.46781159902585e-11
"ETV7",4.44501689405467e-15,4.18885820346196,0.114,0.007,6.18212949625124e-11
"UCP2",4.52599358554218e-15,-2.41457477869748,0.042,0.166,6.29475187877206e-11
"EVI2B",7.20719479294215e-15,-1.63743744302321,0.093,0.247,1.00237665180239e-10
"CASP4",1.08677960557056e-14,1.27806865917232,0.364,0.185,1.51149307542753e-10
"CTSH",1.63618078437462e-14,-1.41857568073562,0.117,0.282,2.27560023490822e-10
"CYBA",1.66199513526802e-14,-0.644480508253436,0.526,0.715,2.31150283413076e-10
"ELF1",1.85575507674014e-14,1.11727491128632,0.309,0.134,2.58098416073019e-10
"B3GNT2",2.42503053900026e-14,2.92103832710252,0.145,0.025,3.37273247364155e-10
"PML",2.58129851334095e-14,3.88360103503978,0.112,0.008,3.5900699723546e-10
"APOL6",2.66981744027434e-14,5.81550147911591,0.097,0.002,3.71318209593355e-10
"FAM46A",3.05643547053746e-14,2.62574482501417,0.149,0.027,4.25089045242351e-10
"TMEM66",4.38274064934286e-14,-0.728681219661478,0.517,0.69,6.09551569510604e-10
"STAT2",4.91552412172668e-14,3.92462158212433,0.107,0.007,6.83651094849747e-10
"CASP1",6.64456018943531e-14,1.87543205202689,0.219,0.074,9.24125431146664e-10
"ODF2L",6.6795256849638e-14,2.01041430775374,0.201,0.062,9.28988432264765e-10
"EHD4",1.38528823197202e-13,2.81198381273116,0.137,0.023,1.92665887302669e-09
"UNC93B1",1.60857076557903e-13,2.73821613061027,0.14,0.025,2.23720022076732e-09
"GNB2L1",2.4820451920794e-13,-0.377420721887161,0.927,0.961,3.45202845314403e-09
"PNPT1",2.52264869363431e-13,2.11966858493609,0.189,0.057,3.5084998031066e-09
"HLA-DMA",3.16938109397985e-13,-1.20308825519822,0.197,0.366,4.40797522550717e-09
"ISCU",5.74286936260446e-13,-0.92032749233698,0.407,0.562,7.98718270951029e-09
"HMGB1",6.50892957382316e-13,-0.605275850404816,0.61,0.743,9.05261925127326e-09
"RPL4",9.33704557491107e-13,-0.453214878865964,0.791,0.883,1.29859629855863e-08
"GSDMD",1.09956801650031e-12,2.00057862248569,0.171,0.047,1.52927919734863e-08
"HLA-DQA1",1.18807085941873e-12,-0.666243113262869,0.513,0.678,1.65236895127957e-08
"GBP7",1.80792794447386e-12,2.08165532112957,0.162,0.042,2.51446618517424e-08
"FXYD5",2.05601705185659e-12,-0.86659171296124,0.262,0.443,2.85950851572215e-08
"SPATS2L",3.07433705072915e-12,5.49599843714512,0.086,0.003,4.2757879701541e-08
"HELZ2",4.28935627502099e-12,3.47646604011504,0.101,0.01,5.9656367072992e-08
"FNBP1",5.49326704031303e-12,-1.17047790425289,0.15,0.302,7.64003579966737e-08
"TAP2.1",6.39187154416368e-12,1.47620222309522,0.209,0.076,8.88981494362285e-08
"RPL14",6.59935386103989e-12,-0.334542468311145,0.931,0.966,9.17838134993428e-08
"LSP1",8.46955078801863e-12,-1.27113978782813,0.101,0.237,1.17794512359763e-07
"RPLP0",1.57740286540064e-11,-0.361574780219713,0.892,0.948,2.19385190519922e-07
"TMEM140",1.98912226690165e-11,1.88543930197465,0.166,0.049,2.76647124880682e-07
"HLA-DRA",2.11759126063744e-11,-0.401522138927647,0.971,0.992,2.94514592529455e-07
"ZFP36L2",2.62927358003366e-11,-1.0639858439952,0.195,0.349,3.65679369511082e-07
"DTX3L",2.82437327652853e-11,2.42676841130562,0.127,0.027,3.92813835299588e-07
"MARCKSL1",2.85808986739783e-11,-1.51376570833095,0.064,0.18,3.97503138757691e-07
"TSC22D3",5.20549637616101e-11,-1.3288037770501,0.108,0.237,7.23980435996474e-07
"ZBP1",6.62655983237009e-11,3.42456569316921,0.089,0.008,9.21621941486032e-07
"RPL17",8.4272989900753e-11,-0.719783525049899,0.372,0.535,1.17206874353967e-06
"TAGLN2",8.81783515465632e-11,-0.68574459382538,0.346,0.513,1.2263845133096e-06
"SOD2",9.06722396728507e-11,1.54618504427389,0.266,0.131,1.26106950937001e-06
"BRK1",9.69604605842093e-11,-0.760831579121393,0.308,0.478,1.34852608580518e-06
"SP140",1.03842353244586e-10,1.55653918953291,0.219,0.092,1.4442394489257e-06
"CD58",1.16720480154272e-10,-1.12837658154977,0.138,0.279,1.62334843798562e-06
"EIF3F",1.17442966417775e-10,-0.743703750148571,0.345,0.523,1.63339677693842e-06
"C16orf74",1.23525950774672e-10,-3.00385662451592,0.013,0.086,1.71799892337413e-06
"TPI1",1.35237599546283e-10,-0.710814909935011,0.362,0.527,1.88088453448971e-06
"RGCC",1.40612478597176e-10,-1.78368916166748,0.065,0.174,1.95563835232952e-06
"CFLAR",1.42854157700582e-10,1.19413013232144,0.303,0.164,1.9868156252997e-06
"TRAFD1",1.74143328260398e-10,3.54917726240397,0.089,0.01,2.42198540944561e-06
"RPL8",1.77582961769125e-10,-0.255044583473839,0.992,0.995,2.46982383228499e-06
"CTSS",1.8543353652865e-10,0.857641098451736,0.443,0.302,2.57900962604046e-06
"PEBP1",2.31295130650915e-10,-0.88709439889725,0.222,0.374,3.21685267709292e-06
"RPSAP58",2.37845336715448e-10,-1.07385019254596,0.131,0.267,3.30795294303845e-06
"PRDX5",2.43042931704742e-10,-1.11212181710354,0.185,0.326,3.38024109414956e-06
"MYCBP2",2.7107869196123e-10,1.3459491234142,0.217,0.089,3.77016244779679e-06
"TNFRSF18",2.80232875920085e-10,-1.60243512574714,0.065,0.173,3.89747883829655e-06
"SNHG7",3.16062177694761e-10,-1.53171677476262,0.048,0.148,4.39579276737873e-06
"HLA-A",3.58457920043996e-10,0.29935035045664,0.99,0.985,4.98543275197189e-06
"STAP1",3.64482352265453e-10,2.1697228938629,0.114,0.023,5.06922055530791e-06
"HIF1A",4.16344201051885e-10,1.63381077982147,0.184,0.07,5.79051514822961e-06
"SESN3",4.32065011898394e-10,-1.57442370683359,0.052,0.153,6.00916018548286e-06
"CORO1A",4.82548495677931e-10,-0.805546244036998,0.281,0.441,6.71128447788866e-06
"PSME1",5.02218274521118e-10,0.631469117853113,0.683,0.589,6.9848517620397e-06
"CD47",5.20714212122422e-10,0.604731781531612,0.535,0.383,7.24209326219864e-06
"RHOG",5.22160810095906e-10,-0.89421322409276,0.236,0.393,7.26221254681386e-06
"HSP90AA1",5.27039486053854e-10,0.655733052921212,0.728,0.607,7.330065172037e-06
"PARP11",5.69165254458162e-10,3.15075351774164,0.089,0.012,7.91595035900412e-06
"TLR7",5.99162912801421e-10,4.88585099062792,0.067,0.002,8.33315779124216e-06
"IL16",6.58359338605014e-10,-1.73803977951504,0.047,0.143,9.15646168131853e-06
"BAG1",1.17514171441316e-09,1.30636994697933,0.236,0.114,1.63438709640582e-05
"CACNA1A",1.29722426568716e-09,5.29058692837624,0.068,0.003,1.8041795087177e-05
"ZNFX1",1.42386501798662e-09,2.70058355585498,0.104,0.022,1.9803114670158e-05
"SLC38A5",1.5736636256126e-09,2.22268876266668,0.121,0.032,2.188651370502e-05
"CMTM7",1.72913721077898e-09,-1.45403908149225,0.102,0.218,2.4048840327514e-05
"BTF3",2.11674950468213e-09,-0.363766294650615,0.755,0.857,2.94397521111191e-05
"MCL1",2.36101640023795e-09,0.896336318979357,0.313,0.181,3.28370160945094e-05
"HLA-DRB1",2.55312023439962e-09,-0.444481798802988,0.884,0.936,3.550879622003e-05
"GLRX",2.71271275282874e-09,1.64001883104166,0.185,0.076,3.77284089663421e-05
"CAST",2.80531423136983e-09,0.924668146881396,0.305,0.169,3.90163103298916e-05
"GPX1",2.86074092424308e-09,-1.45126338253072,0.067,0.168,3.97871847743728e-05
"FAS",3.28129788505415e-09,2.8887715738561,0.073,0.007,4.56362909853331e-05
"CD79A",3.87882235921999e-09,-0.576364808413103,0.602,0.732,5.39466613720316e-05
"CD53",5.45486787575943e-09,0.797905653651664,0.467,0.339,7.58663024160621e-05
"TUBB",5.95321648134048e-09,-1.06813212021626,0.144,0.268,8.27973348224834e-05
"APOBEC3A",7.06209093317357e-09,4.22625484277812,0.067,0.005,9.8219560698578e-05
"PRKD2",7.15701343007775e-09,2.44307151245856,0.078,0.01,9.95397427855213e-05
"DNPH1",8.99353249817709e-09,-1.0963526823162,0.111,0.225,0.000125082049984647
"AP3B1",9.28379773777906e-09,1.94369318664371,0.119,0.034,0.000129119058937031
"GNB4",9.68836670548266e-09,1.95255649221895,0.108,0.027,0.000134745804139853
"VAMP5",1.07516417725866e-08,1.65713258936082,0.149,0.052,0.000149533833773134
"PARP12",1.19432996015208e-08,1.39342342239422,0.17,0.067,0.000166107410857952
"IDH3A",1.23994655938486e-08,1.55079602801519,0.157,0.059,0.000172451767479246
"EIF3L",1.58187442046035e-08,-0.780790402454113,0.258,0.391,0.000220007094397626
"GPBP1",1.7541843804665e-08,0.715061898310282,0.411,0.27,0.000243971963635281
"SAMHD1",1.76258322192217e-08,3.30293272087666,0.074,0.01,0.000245140074504935
"IDO1",2.01822069269759e-08,3.64327068140339,0.07,0.008,0.000280694133940381
"MYD88",2.11894663193248e-08,2.8417181946995,0.084,0.015,0.000294703097569169
"CD82",2.25453885886268e-08,-1.09807828153895,0.119,0.232,0.000313561264490622
"SYNE2",2.30123904960015e-08,1.69393113887656,0.114,0.032,0.000320056327018388
"PI4K2B",2.42341939374972e-08,2.4103115089467,0.093,0.02,0.000337049169282711
"ANXA2R",2.43893764180871e-08,1.70892398759367,0.142,0.05,0.000339207447222755
"LGALS3BP",2.61028392353471e-08,2.32691891050029,0.081,0.013,0.000363038288085208
"C11orf31",2.85714620536202e-08,-0.713921534484722,0.245,0.386,0.000397371894241749
"CHI3L2",3.03550690790731e-08,2.26955147186296,0.084,0.015,0.000422178300751749
"COX4I1",3.996130517146e-08,-0.398684582631616,0.843,0.886,0.000555781832324666
"CHMP5",5.09151680220013e-08,1.06726674573459,0.274,0.156,0.000708128156849994
"IL15RA",5.40673428517766e-08,2.95849317621907,0.074,0.012,0.000751968604382508
"TMEM126B",5.62365095187674e-08,1.26177663221928,0.183,0.081,0.000782137374387017
"LPXN",6.89810518482473e-08,-0.922038841426928,0.133,0.247,0.000959388469105424
"TANK",7.9803985618266e-08,1.10525508163659,0.238,0.128,0.00110991383197884
"NAP1L1",9.70655170883653e-08,-0.623855417069766,0.304,0.445,0.00134998721166498
"PRDX1",1.14381246073763e-07,-0.707376880708935,0.379,0.497,0.0015908143703939
"IFI27",1.1816681488716e-07,3.51553177436039,0.065,0.008,0.00164346406145062
"TMX1",1.34335242171355e-07,1.30422292295928,0.197,0.097,0.00186833454811921
"SNX6",1.38118824802553e-07,1.16757078203507,0.213,0.109,0.00192095661535391
"EVL",1.41778499107222e-07,1.05441348963683,0.273,0.159,0.00197185536558325
"CTD-2521M24.9",1.48738534547922e-07,2.47158959958484,0.084,0.018,0.0020686555384925
"CNDP2",1.49317532081085e-07,1.13268259047956,0.217,0.112,0.00207670823618372
"CXCR4",1.57519614450957e-07,-0.370609941881886,0.713,0.812,0.00219078279778391
"ZNF267",1.60037877882796e-07,1.3492532274215,0.176,0.082,0.00222580680559392
"NDUFA9",1.65527140293659e-07,0.910710087852677,0.266,0.153,0.00230215146720421
"SNX2",1.75878939752867e-07,0.767494632744153,0.411,0.289,0.00244612429408288
"RARRES3",1.84680616520324e-07,1.57145600220759,0.158,0.069,0.00256853801456467
"HNRNPDL",1.91964727448935e-07,-0.621408069852703,0.282,0.423,0.00266984542935979
"LDHB",2.39658442547407e-07,-0.708568641925582,0.296,0.419,0.00333316961894934
"POMP",2.56382331428246e-07,0.779311030358917,0.415,0.295,0.00356576546550405
"FKBP2",2.83966501653166e-07,-0.898213121706329,0.11,0.211,0.00394940610499223
"TUBA4A",3.3702288795685e-07,-1.53365594926253,0.04,0.112,0.00468731432570387
"TRIM25",3.43250535497383e-07,4.0024625565231,0.051,0.003,0.00477392844769761
"BIRC3",3.49282252549384e-07,-0.524210619817848,0.401,0.539,0.00485781756845683
"SQRDL",3.65699902495078e-07,1.40995774304811,0.134,0.052,0.00508615424390154
"HLA-DMB",3.72009263210352e-07,-1.18461581076395,0.082,0.171,0.00517390483272958
"COMMD3",3.89472413700433e-07,-1.37471990513905,0.076,0.164,0.00541678232974562
"TSPAN13",4.07308325128589e-07,1.92263163145072,0.12,0.044,0.00566484418588842
"HLA-F",4.51847738706588e-07,0.742542038969435,0.383,0.262,0.00628429834993122
"SEC62",4.53775171675423e-07,-0.682128459302715,0.316,0.43,0.00631110508766179
"SMIM14",4.69093824327832e-07,-0.937826249859083,0.145,0.255,0.00652415690875148
"ALDOA",4.84032520215761e-07,-0.787390930055999,0.222,0.337,0.00673192429116081
