"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140888","GO:0140888","interferon-mediated signaling pathway","23/181","121/18860",0.190082644628099,19.8064015341765,20.4289944602284,1.37494905597414e-23,2.92634990746495e-21,2.50023630967928e-21,"ISG15/IRF7/OAS1/IFITM2/OASL/IFITM3/PARP14/OAS2/STAT1/IFIH1/IFITM1/OAS3/PARP9/SP100/IRF1/ADAR/TREX1/STAT2/ZBP1/SAMHD1/MYD88/TANK/IFI27",23
"GO:0071357","GO:0071357","cellular response to type I interferon","21/181","93/18860",0.225806451612903,23.5287827481732,21.438953431486,2.62257297414745e-23,5.15234721228661e-21,4.40210022300216e-21,"ISG15/IFIT1/IRF7/OAS1/IFITM2/OASL/IFITM3/OAS2/STAT1/IFIH1/IFITM1/OAS3/SP100/ADAR/TREX1/STAT2/ZBP1/SAMHD1/MYD88/TANK/IFI27",21
"GO:0060337","GO:0060337","type I interferon-mediated signaling pathway","20/181","92/18860",0.217391304347826,22.6519337016575,20.4928995620719,6.91407959402839e-22,1.26132566308204e-19,1.077660676573e-19,"ISG15/IRF7/OAS1/IFITM2/OASL/IFITM3/OAS2/STAT1/IFIH1/IFITM1/OAS3/SP100/ADAR/TREX1/STAT2/ZBP1/SAMHD1/MYD88/TANK/IFI27",20
"GO:0035456","GO:0035456","response to interferon-beta","14/181","37/18860",0.378378378378378,39.4266089293714,23.030868100589,1.70173549149584e-19,2.89748829685359e-17,2.47557731499711e-17,"PLSCR1/OAS1/IFITM2/BST2/IFITM3/IFI16/XAF1/STAT1/MNDA/IFITM1/IRF1/TREX1/PNPT1/AIM2",14
"GO:0034341","GO:0034341","response to type II interferon","20/181","129/18860",0.155038759689922,16.1548674461433,17.0015423646146,8.65969127651195e-19,1.38230322001322e-16,1.18102236948745e-16,"GBP1/IFITM2/BST2/IFITM3/GBP4/PARP14/GBP2/STAT1/GBP5/IRF8/IFITM1/NUB1/PARP9/LGALS9/SP100/IRF1/CCL2/CASP1/GBP7/TRIM21",20
"GO:0002218","GO:0002218","activation of innate immune response","28/181","362/18860",0.0773480662983425,8.05958304081072,13.3503531950061,1.24672661238217e-17,1.87302339295533e-15,1.60028747211655e-15,"IRF7/OAS1/IFI35/RSAD2/EIF2AK2/OASL/IFI16/NMI/GBP2/IFIH1/GBP5/MNDA/OAS3/IRF1/DHX58/TREX1/DDX60/CASP4/CASP1/UNC93B1/GSDMD/ZBP1/TLR7/ZNFX1/AP3B1/MYD88/TRIM25/AIM2",28
"GO:0045089","GO:0045089","positive regulation of innate immune response","30/181","432/18860",0.0694444444444444,7.23603437691835,12.9072308874653,1.54821606619479e-17,2.19674657392305e-15,1.87687245919403e-15,"PLSCR1/IRF7/OAS1/IFI35/RSAD2/EIF2AK2/OASL/IFI16/NMI/GBP2/IFIH1/GBP5/MNDA/OAS3/PARP9/IRF1/DHX58/TREX1/DDX60/CASP4/CASP1/UNC93B1/GSDMD/ZBP1/TLR7/ZNFX1/AP3B1/MYD88/TRIM25/AIM2",30
"GO:0140374","GO:0140374","antiviral innate immune response","16/181","79/18860",0.20253164556962,21.1035736764809,17.6258172058653,3.37020522576372e-17,4.53026534031608e-15,3.87060134792698e-15,"IFIT3/IFIT1/MX1/IFIT2/CXCL10/OAS1/EIF2AK2/OASL/TRIM22/OAS2/IFIH1/OAS3/DHX58/ZBP1/TRIM25/TRIM21",16
"GO:0032479","GO:0032479","regulation of type I interferon production","19/181","136/18860",0.139705882352941,14.5571985700357,15.619312057154,5.02944368846313e-17,6.11676151444515e-15,5.22608359207221e-15,"ISG15/IRF7/OAS1/XAF1/NMI/OAS2/STAT1/IFIH1/IRF8/OAS3/IRF1/DHX58/TREX1/GBP7/TLR7/MYD88/TANK/TRIM21/TRIM38",19
"GO:0032606","GO:0032606","type I interferon production","19/181","136/18860",0.139705882352941,14.5571985700357,15.619312057154,5.02944368846313e-17,6.11676151444515e-15,5.22608359207221e-15,"ISG15/IRF7/OAS1/XAF1/NMI/OAS2/STAT1/IFIH1/IRF8/OAS3/IRF1/DHX58/TREX1/GBP7/TLR7/MYD88/TANK/TRIM21/TRIM38",19
